snapshot_date,dataset_id,reference_dataset_id,intersection_count,child_only_count,reference_only_count,coverage_ratio
20251120,kpgn,gn,388,0,0,1.0
20251120,kphq,hq,5458,0,0,1.0
20251120,kphy,hy,86,0,0,1.0
20251120,zj,hq,5458,0,0,1.0
20251121,kpgn,gn,388,0,0,1.0
20251121,kphq,hq,5458,0,0,1.0
20251121,kphy,hy,86,0,0,1.0
20251121,zj,hq,5458,0,0,1.0
20251124,kpgn,gn,388,0,0,1.0
20251124,kphq,hq,5458,0,0,1.0
20251124,kphy,hy,86,0,0,1.0
20251124,zj,hq,5458,0,0,1.0
20251125,kpgn,gn,388,0,0,1.0
20251125,kphq,hq,5458,0,0,1.0
20251125,kphy,hy,86,0,0,1.0
20251125,zj,hq,5458,0,0,1.0
20251126,zj,hq,5458,0,0,1.0
20251127,zj,hq,5461,0,0,1.0
20251128,kpgn,gn,388,0,0,1.0
20251128,kphq,hq,5462,0,0,1.0
20251128,kphy,hy,86,0,0,1.0
20251128,zj,hq,5462,0,0,1.0
20251201,kpgn,gn,388,0,0,1.0
20251201,kphq,hq,5462,0,0,1.0
20251201,kphy,hy,86,0,0,1.0
20251201,zj,hq,5462,0,0,1.0
20251203,kpgn,gn,388,0,0,1.0
20251203,kphq,hq,5462,0,1,0.9998169503935568
20251203,kphy,hy,86,0,0,1.0
20251203,zj,hq,5463,0,0,1.0
20251204,kpgn,gn,388,0,0,1.0
20251204,kphq,hq,5464,0,0,1.0
20251204,kphy,hy,86,0,0,1.0
20251204,zj,hq,5464,0,0,1.0
20251205,kpgn,gn,388,0,0,1.0
20251205,kphq,hq,5465,0,0,1.0
20251205,kphy,hy,86,0,0,1.0
20251205,zj,hq,5465,0,0,1.0
20251208,kpgn,gn,388,0,0,1.0
20251208,kphq,hq,5465,0,0,1.0
20251208,kphy,hy,86,0,0,1.0
20251208,zj,hq,5465,0,0,1.0
20251209,kpgn,gn,388,0,0,1.0
20251209,kphq,hq,5465,0,0,1.0
20251209,kphy,hy,86,0,0,1.0
20251209,zj,hq,5465,0,0,1.0
20251210,zj,hq,5465,0,0,1.0
20251211,zj,hq,5468,0,0,1.0
20251212,kpgn,gn,388,0,0,1.0
20251212,kphq,hq,5469,0,1,0.99981718464351
20251212,kphy,hy,86,0,0,1.0
20251212,zj,hq,5470,0,0,1.0
20251215,zj,hq,5470,0,0,1.0
20251216,kpgn,gn,388,0,0,1.0
20251216,kphq,hq,5470,0,0,1.0
20251216,kphy,hy,86,0,0,1.0
20251216,zj,hq,5470,0,0,1.0
20251217,kpgn,gn,388,0,0,1.0
20251217,kphq,hq,5470,0,0,1.0
20251217,kphy,hy,86,0,0,1.0
20251217,zj,hq,5470,0,0,1.0
20251218,kpgn,gn,388,0,0,1.0
20251218,kphq,hq,5471,0,0,1.0
20251218,kphy,hy,86,0,0,1.0
20251218,zj,hq,5471,0,0,1.0
20251219,zj,hq,5471,0,0,1.0
20251222,kpgn,gn,388,0,0,1.0
20251222,kphq,hq,5472,0,0,1.0
20251222,kphy,hy,86,0,0,1.0
20251222,zj,hq,5472,0,0,1.0
20251223,kpgn,gn,388,0,0,1.0
20251223,kphq,hq,288,0,5184,0.0526315789473684
20251223,kphy,hy,86,0,0,1.0
20251223,zj,hq,5472,0,0,1.0
20251224,kpgn,gn,388,0,0,1.0
20251224,kphq,hq,5472,0,0,1.0
20251224,kphy,hy,86,0,0,1.0
20251224,zj,hq,5472,0,0,1.0
20251225,kpgn,gn,388,0,0,1.0
20251225,kphq,hq,5473,0,0,1.0
20251225,kphy,hy,86,0,0,1.0
20251225,zj,hq,5473,0,0,1.0
20251226,kpgn,gn,388,0,0,1.0
20251226,kphq,hq,5473,0,0,1.0
20251226,kphy,hy,86,0,0,1.0
20251226,zj,hq,5473,0,0,1.0
20251229,kpgn,gn,388,0,0,1.0
20251229,kphq,hq,5473,0,0,1.0
20251229,kphy,hy,86,0,0,1.0
20251229,zj,hq,5473,0,0,1.0
20251230,zj,hq,5473,0,0,1.0
20251231,kpgn,gn,388,0,0,1.0
20251231,kphq,hq,5472,0,0,1.0
20251231,kphy,hy,86,0,0,1.0
20251231,zj,hq,5472,0,0,1.0
